date,plot_id,greenhouse_id,farm_id,input_type,quantity,unit_cost,total_cost,reason,purpose,is_precision_action
2025-03-16,P0001,GH003,F08,Fertilizer,19.03615074,1.95,37.12,Shock response,Routine,0
2025-03-16,P0001,GH003,F08,Water,700.3427542,0.0025,1.75,Pest response,Routine,0
2025-03-16,P0001,GH003,F08,Labor,1.987038419,28,55.64,Growth phase,Routine,0
2025-04-14,P0001,GH003,F08,Water,755.1903081,0.0025,1.89,Shock response,Routine,0
2025-04-14,P0001,GH003,F08,Labor,0.701706246,28,19.65,Routine,Routine,0
2025-04-14,P0001,GH003,F08,Energy,32.02283606,0.19,6.08,Growth phase,Routine,0
2025-04-16,P0001,GH003,F08,Fertilizer,19.92526688,1.95,38.85,Routine,Response to alert,1
2025-04-16,P0001,GH003,F08,Water,570.008251,0.0025,1.43,Growth phase,Routine,0
2025-04-16,P0001,GH003,F08,Energy,27.58047219,0.19,5.24,Shock response,Routine,0
2025-05-19,P0001,GH003,F08,Fertilizer,10.97651913,1.95,21.4,Pest response,Routine,0
2025-05-19,P0001,GH003,F08,Water,487.8045547,0.0025,1.22,Routine,Routine,0
2025-05-19,P0001,GH003,F08,Labor,1.233440641,28,34.54,Irrigation adjustment,Routine,0
2025-06-05,P0001,GH003,F08,Fertilizer,22.61152878,1.95,44.09,Irrigation adjustment,Response to alert,1
2025-06-05,P0001,GH003,F08,Water,693.3859596,0.0025,1.73,Growth phase,Routine,0
2025-06-05,P0001,GH003,F08,Labor,1.336221069,28,37.41,Routine,Routine,0
2025-06-07,P0001,GH003,F08,Fertilizer,18.61831367,1.95,36.31,Irrigation adjustment,Routine,0
2025-06-07,P0001,GH003,F08,Water,593.7305851,0.0025,1.48,Irrigation adjustment,Routine,0
2025-06-07,P0001,GH003,F08,Labor,1.650669391,28,46.22,Pest response,Routine,0
2025-06-07,P0001,GH003,F08,Energy,48.45898591,0.19,9.21,Routine,Routine,0
2025-06-12,P0001,GH003,F08,Fertilizer,15.88138779,1.95,30.97,Routine,Routine,0
2025-06-12,P0001,GH003,F08,Pesticide,3.042618674,14,42.6,Growth phase,Routine,0
2025-06-12,P0001,GH003,F08,Water,786.9400861,0.0025,1.97,Pest response,Routine,0
2025-06-12,P0001,GH003,F08,Labor,2.232431823,28,62.51,Growth phase,Routine,0
2025-06-12,P0001,GH003,F08,Energy,21.80458246,0.19,4.14,Shock response,Routine,0
2025-06-25,P0001,GH003,F08,Fertilizer,22.16089564,1.95,43.21,Shock response,Response to alert,1
2025-06-25,P0001,GH003,F08,Water,548.8227542,0.0025,1.37,Growth phase,Routine,0
2025-07-05,P0001,GH003,F08,Fertilizer,22.74000033,1.95,44.34,Irrigation adjustment,Routine,0
2025-07-05,P0001,GH003,F08,Water,695.4859328,0.0025,1.74,Shock response,Routine,0
2025-07-05,P0001,GH003,F08,Labor,1.572894679,28,44.04,Shock response,Routine,0
