plot_id,season_yield_kg_m2,marketable_ratio,season_revenue_cad,total_cost_cad,season_profit_cad,season_roi,precision_benefit_cad
P0001,4.15652719,0.861321691,1527.638611,1001.824251,525.8143601,0.524856889,341.7793341
P0002,4.379328009,0.860303423,1528.270458,1186.559294,341.7111641,0.287984904,222.1122566
P0003,5.372755157,0.904686135,1909.247732,1364.433675,544.8140567,0.399296841,354.1291369
P0004,9.746384651,0.913070695,1057.03454,1260.634237,-203.5996966,-0.161505765,0
P0005,10.27213854,0.878086265,2557.590139,1747.245693,810.3444459,0.463783914,526.7238899
P0006,5.746262275,0.865216933,2324.575467,1476.066824,848.5086428,0.574844329,551.5306178
P0007,4.618121812,0.910548952,1429.961118,1045.090832,384.8702859,0.368264915,250.1656858
P0008,5.675171332,0.932349369,2471.898362,1702.620777,769.2775851,0.451819686,500.0304303
P0009,5.160042729,0.872025623,2501.915458,1802.248509,699.6669483,0.388218908,454.7835164
P0010,5.20656653,0.870578552,3052.977314,1944.774065,1108.203249,0.569836501,720.3321118
P0011,4.658300391,0.973685868,1528.516257,1125.378841,403.1374156,0.358223738,262.0393201
P0012,4.084441756,0.941485011,2446.146699,1701.363525,744.7831738,0.437756636,484.1090629
P0013,6.215299662,0.844807159,3962.987436,1801.357925,2161.62951,1.2,1405.059182
P0014,5.097346195,0.977426385,1758.228279,1329.595113,428.6331656,0.322378716,278.6115577
P0015,6.775161652,0.841189463,1629.392475,1166.370645,463.0218301,0.39697658,300.9641896
P0016,5.481792674,0.877094663,2368.155965,1504.791033,863.3649321,0.57374407,561.1872059
P0017,10.18921985,0.968425381,2494.068315,1795.965187,698.1031282,0.388706381,453.7670334
P0018,4.754018352,0.85125428,1561.954977,1107.283712,454.6712651,0.41061858,295.5363223
P0019,9.442923086,0.959660199,1730.361997,1192.623694,537.7383029,0.450886818,349.5298969
P0020,7.352661476,0.860254836,1909.002673,1280.366998,628.6356747,0.490980848,408.6131886
P0021,8.395517341,0.865093751,1812.84226,1479.563685,333.2785755,0.225254633,216.6310741
P0022,5.896752865,0.949854286,1445.049158,1401.113841,43.93531727,0.031357421,28.55795622
P0023,6.324978237,0.965359368,1915.570707,1343.33263,572.2380768,0.425983903,371.9547499
P0024,6.026084076,0.904502806,1658.963373,1212.576473,446.3868997,0.368130926,290.1514848
P0025,6.432861787,0.845387716,1553.779621,1094.542482,459.2371394,0.419569955,298.5041406
P0026,7.412413264,0.884142736,1883.383758,1373.399431,509.9843272,0.371329939,331.4898126
P0027,5.369141336,0.842141055,1126.558484,1379.227175,-252.6686911,-0.183195847,0
P0028,5.994418373,0.888884316,2392.867049,1629.749807,763.1172417,0.468241959,496.0262071
P0029,6.930572507,0.932303403,1517.359475,1229.931019,287.4284563,0.233694778,186.8284966
P0030,8.103068588,0.877130259,2528.056243,1716.104573,811.95167,0.473136476,527.7685855
P0031,5.282939877,0.931282637,1387.811791,1459.480179,-71.66838778,-0.04910542,0
P0032,8.891860683,0.969847228,1850.019281,1323.638494,526.3807875,0.397677153,342.1475118
P0033,6.235737576,0.905259426,1834.25777,1210.159267,624.0985025,0.515716005,405.6640267
P0034,4.196773668,0.868995338,2650.665182,1647.125576,1003.539606,0.609267211,652.3007441
P0035,4.777911592,0.969179994,1511.04567,1498.191145,12.85452572,0.008580031,8.355441716
P0036,8.123628042,0.972419926,1518.214878,1085.845704,432.3691734,0.398186567,281.0399627
P0037,9.515928711,0.858886792,2240.733547,1744.532896,496.2006506,0.284431811,322.5304229
P0038,6.556996742,0.965949395,1660.730084,1182.227162,478.502922,0.404747021,311.0268993
P0039,10.49599427,0.880900883,2142.677711,1578.64638,564.0313314,0.357287952,366.6203654
P0040,8.825087144,0.857944562,1434.787423,1052.622383,382.1650407,0.363059961,248.4072764
P0041,9.706876535,0.856530737,1379.879213,962.4191466,417.4600661,0.433761181,271.349043
P0042,8.24303981,0.946323011,2075.793855,1379.252286,696.5415692,0.505013895,452.7520199
P0043,6.357963116,0.852381952,2578.555814,1183.886451,1394.669362,1.178043182,906.5350855
P0044,4.906114805,0.946841244,1828.267011,1178.404153,649.8628588,0.551477061,422.4108582
P0045,9.22574451,0.873546598,2753.667489,1772.849143,980.8183466,0.55324411,637.5319253
P0046,9.33656394,0.898629731,2602.776951,1798.070814,804.7061373,0.447538624,523.0589893
P0047,6.138183203,0.860022479,1672.245509,1169.540358,502.7051512,0.429831384,326.7583483
P0048,6.664329046,0.931373772,2008.727801,1581.659326,427.0684754,0.270012934,277.594509
P0049,7.548945968,0.90409003,1592.824054,1430.211821,162.612233,0.113698007,91.10164196
P0050,5.069091311,0.895136221,2048.577403,1288.475777,760.1016257,0.589923101,494.0660567
P0051,9.739564646,0.952654239,1776.783121,1153.053847,623.7292738,0.540936814,405.424028
